15:36:41.589	SERVER	admin	OK	Server was started (port: 1984).
15:36:42.922	SERVER	admin	OK	Server was stopped (port: 1984).
15:36:51.539	SERVER	admin	OK	Server was started (port: 1984).
15:37:06.087	127.0.0.1:52242	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	4.4 ms
15:37:06.228	127.0.0.1:52242	admin	REQUEST	EXEC[0]	139.95 ms
15:37:06.228	127.0.0.1:52242	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.15 ms
15:37:06.252	127.0.0.1:52242	admin	REQUEST	EXIT	23.95 ms
15:37:06.253	127.0.0.1:52242	admin	OK		0.93 ms
15:37:18.249	127.0.0.1:52251	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.27 ms
15:37:18.250	127.0.0.1:52251	admin	REQUEST	EXEC[0]	0.76 ms
15:37:18.250	127.0.0.1:52251	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.15 ms
15:37:18.251	127.0.0.1:52251	admin	REQUEST	EXIT	0.48 ms
15:37:18.251	127.0.0.1:52251	admin	OK		0.2 ms
15:37:44.386	127.0.0.1:52252	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.19 ms
15:37:44.387	127.0.0.1:52252	admin	REQUEST	EXEC[0]	0.65 ms
15:37:44.387	127.0.0.1:52252	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.14 ms
15:37:44.388	127.0.0.1:52252	admin	REQUEST	EXIT	0.37 ms
15:37:44.388	127.0.0.1:52252	admin	OK		0.24 ms
15:38:08.043	127.0.0.1:52255	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.19 ms
15:38:08.044	127.0.0.1:52255	admin	REQUEST	EXEC[0]	0.7 ms
15:38:08.044	127.0.0.1:52255	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.18 ms
15:38:08.045	127.0.0.1:52255	admin	REQUEST	EXIT	0.42 ms
15:38:08.045	127.0.0.1:52255	admin	OK		0.26 ms
15:39:04.123	SERVER	admin	OK	Server was stopped (port: 1984).
15:39:05.056	SERVER	admin	OK	Server was started (port: 1984).
15:39:06.991	127.0.0.1:52268	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	3.67 ms
15:39:07.088	127.0.0.1:52268	admin	REQUEST	EXEC[0]	96.48 ms
15:39:07.088	127.0.0.1:52268	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.15 ms
15:39:07.105	127.0.0.1:52268	admin	REQUEST	EXIT	16.99 ms
15:39:07.106	127.0.0.1:52268	admin	OK		0.6 ms
15:39:13.328	127.0.0.1:52269	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.19 ms
15:39:13.329	127.0.0.1:52269	admin	REQUEST	EXEC[0]	0.78 ms
15:39:13.329	127.0.0.1:52269	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.15 ms
15:39:13.330	127.0.0.1:52269	admin	REQUEST	EXIT	0.41 ms
15:39:13.330	127.0.0.1:52269	admin	OK		0.25 ms
15:40:02.042	SERVER	admin	OK	Server was stopped (port: 1984).
15:40:16.583	SERVER	admin	OK	Server was started (port: 1984).
15:40:24.070	127.0.0.1:52272	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	4.31 ms
15:40:24.153	127.0.0.1:52272	admin	REQUEST	EXEC[0]	82.39 ms
15:40:24.154	127.0.0.1:52272	admin	ERROR	Stopped at ., 1/65: [XQST0059] Could not retrieve module: /Users/brunoaguiar/Desktop/universidade/4ano/EDC/EDC-TP1/music.xqm.	0.26 ms
15:40:24.170	127.0.0.1:52272	admin	REQUEST	EXIT	15.74 ms
15:40:24.171	127.0.0.1:52272	admin	OK		0.91 ms
